State,District,Most AQI Reached,Current AQI,Major Source of Pollution
Arunachal Pradesh,Lower Subansiri,267,153,Road Dust
Arunachal Pradesh,Lower Subansiri (Area 1),172,106,Industrial Emissions
Arunachal Pradesh,Lower Subansiri (Area 2),231,35,Crop Burning
Arunachal Pradesh,Lower Subansiri (Area 3),234,125,Crop Burning
Arunachal Pradesh,Lower Subansiri (Area 4),302,127,Waste Burning
Arunachal Pradesh,Lower Subansiri (Area 5),280,122,Industrial Emissions
Arunachal Pradesh,Lower Subansiri (Area 6),201,105,Industrial Emissions
Arunachal Pradesh,Upper Subansiri,251,87,Industrial Emissions
Arunachal Pradesh,Upper Subansiri (Area 1),159,134,Industrial Emissions
Arunachal Pradesh,Upper Subansiri (Area 2),205,103,Crop Burning
Arunachal Pradesh,Upper Subansiri (Area 3),70,52,Industrial Emissions
Arunachal Pradesh,Upper Subansiri (Area 4),178,44,Waste Burning
Arunachal Pradesh,Upper Subansiri (Area 5),287,93,Road Dust
Arunachal Pradesh,Upper Subansiri (Area 6),242,60,Waste Burning
Arunachal Pradesh,West Siang,273,56,Construction Dust
Arunachal Pradesh,West Siang (Area 1),310,184,Road Dust
Arunachal Pradesh,West Siang (Area 2),96,84,Industrial Emissions
Arunachal Pradesh,West Siang (Area 3),184,104,Road Dust
Arunachal Pradesh,West Siang (Area 4),298,178,Crop Burning
Arunachal Pradesh,West Siang (Area 5),271,107,Crop Burning
Arunachal Pradesh,West Siang (Area 6),267,45,Crop Burning
Arunachal Pradesh,East Siang,237,169,Industrial Emissions
Arunachal Pradesh,East Siang (Area 1),258,92,Road Dust
Arunachal Pradesh,East Siang (Area 2),229,190,Domestic Fuel
Arunachal Pradesh,East Siang (Area 3),243,181,Vehicle
Arunachal Pradesh,East Siang (Area 4),232,106,Domestic Fuel
Arunachal Pradesh,East Siang (Area 5),306,190,Vehicle
Arunachal Pradesh,East Siang (Area 6),277,163,Crop Burning
Arunachal Pradesh,Siang,319,115,Vehicle
Arunachal Pradesh,Siang (Area 1),294,186,Crop Burning
Arunachal Pradesh,Siang (Area 2),291,166,Crop Burning
Arunachal Pradesh,Siang (Area 3),220,111,Domestic Fuel
Arunachal Pradesh,Siang (Area 4),200,134,Vehicle
Arunachal Pradesh,Siang (Area 5),297,105,Domestic Fuel
Arunachal Pradesh,Siang (Area 6),218,149,Construction Dust
Arunachal Pradesh,Upper Siang,205,184,Industrial Emissions
Arunachal Pradesh,Upper Siang (Area 1),194,80,Road Dust
Arunachal Pradesh,Upper Siang (Area 2),247,139,Domestic Fuel
Arunachal Pradesh,Upper Siang (Area 3),290,76,Waste Burning
Arunachal Pradesh,Upper Siang (Area 4),252,61,Vehicle
Arunachal Pradesh,Upper Siang (Area 5),308,31,Construction Dust
Arunachal Pradesh,Upper Siang (Area 6),129,79,Domestic Fuel
Arunachal Pradesh,Lower Siang,293,155,Waste Burning
Arunachal Pradesh,Lower Siang (Area 1),241,106,Waste Burning
Arunachal Pradesh,Lower Siang (Area 2),272,169,Industrial Emissions
Arunachal Pradesh,Lower Siang (Area 3),83,34,Industrial Emissions
Arunachal Pradesh,Lower Siang (Area 4),183,120,Construction Dust
Arunachal Pradesh,Lower Siang (Area 5),320,166,Waste Burning
Arunachal Pradesh,Lower Siang (Area 6),162,53,Vehicle
Arunachal Pradesh,Lower Dibang Valley,283,139,Industrial Emissions
Arunachal Pradesh,Lower Dibang Valley (Area 1),272,43,Vehicle
Arunachal Pradesh,Lower Dibang Valley (Area 2),91,35,Domestic Fuel
Arunachal Pradesh,Lower Dibang Valley (Area 3),238,122,Vehicle
Arunachal Pradesh,Lower Dibang Valley (Area 4),197,163,Domestic Fuel
Arunachal Pradesh,Lower Dibang Valley (Area 5),208,104,Construction Dust
Arunachal Pradesh,Lower Dibang Valley (Area 6),298,117,Industrial Emissions
Arunachal Pradesh,Dibang Valley,224,140,Vehicle
Arunachal Pradesh,Dibang Valley (Area 1),285,81,Construction Dust
Arunachal Pradesh,Dibang Valley (Area 2),284,62,Industrial Emissions
Arunachal Pradesh,Dibang Valley (Area 3),296,186,Industrial Emissions
Arunachal Pradesh,Dibang Valley (Area 4),101,35,Crop Burning
Arunachal Pradesh,Dibang Valley (Area 5),317,149,Vehicle
Arunachal Pradesh,Dibang Valley (Area 6),196,157,Road Dust
Arunachal Pradesh,Anjaw,290,166,Road Dust
Arunachal Pradesh,Anjaw (Area 1),223,83,Crop Burning
Arunachal Pradesh,Anjaw (Area 2),130,101,Vehicle
Arunachal Pradesh,Anjaw (Area 3),131,64,Crop Burning
Arunachal Pradesh,Anjaw (Area 4),294,121,Waste Burning
Arunachal Pradesh,Anjaw (Area 5),196,121,Construction Dust
Arunachal Pradesh,Anjaw (Area 6),121,33,Crop Burning
Arunachal Pradesh,Lohit,201,59,Domestic Fuel
Arunachal Pradesh,Lohit (Area 1),258,155,Crop Burning
Arunachal Pradesh,Lohit (Area 2),210,46,Crop Burning
Arunachal Pradesh,Lohit (Area 3),303,137,Construction Dust
Arunachal Pradesh,Lohit (Area 4),265,141,Road Dust
Arunachal Pradesh,Lohit (Area 5),279,174,Waste Burning
Arunachal Pradesh,Lohit (Area 6),268,157,Waste Burning
Arunachal Pradesh,Namsai,262,120,Road Dust
Arunachal Pradesh,Namsai (Area 1),208,187,Crop Burning
Arunachal Pradesh,Namsai (Area 2),248,127,Vehicle
Arunachal Pradesh,Namsai (Area 3),219,124,Construction Dust
Arunachal Pradesh,Namsai (Area 4),181,93,Industrial Emissions
Arunachal Pradesh,Namsai (Area 5),217,180,Domestic Fuel
Arunachal Pradesh,Namsai (Area 6),159,112,Domestic Fuel
Arunachal Pradesh,Changlang,275,50,Waste Burning
Arunachal Pradesh,Changlang (Area 1),311,36,Waste Burning
Arunachal Pradesh,Changlang (Area 2),260,99,Crop Burning
Arunachal Pradesh,Changlang (Area 3),124,90,Road Dust
Arunachal Pradesh,Changlang (Area 4),201,159,Crop Burning
Arunachal Pradesh,Changlang (Area 5),277,97,Waste Burning
Arunachal Pradesh,Changlang (Area 6),222,44,Construction Dust
Arunachal Pradesh,Tirap,221,149,Vehicle
Arunachal Pradesh,Tirap (Area 1),315,181,Vehicle
Arunachal Pradesh,Tirap (Area 2),207,121,Road Dust
Arunachal Pradesh,Tirap (Area 3),264,131,Road Dust
Arunachal Pradesh,Tirap (Area 4),290,185,Waste Burning
Arunachal Pradesh,Tirap (Area 5),239,155,Domestic Fuel
Arunachal Pradesh,Tirap (Area 6),138,94,Domestic Fuel
Arunachal Pradesh,Longding,208,121,Road Dust
Arunachal Pradesh,Longding (Area 1),289,155,Domestic Fuel
Arunachal Pradesh,Longding (Area 2),305,102,Road Dust
Arunachal Pradesh,Longding (Area 3),287,158,Vehicle
Arunachal Pradesh,Longding (Area 4),216,103,Waste Burning
Arunachal Pradesh,Longding (Area 5),285,76,Waste Burning
Arunachal Pradesh,Longding (Area 6),69,33,Crop Burning
Assam,Baksa,141,109,Waste Burning
Assam,Baksa (Area 1),235,31,Vehicle
Assam,Baksa (Area 2),267,56,Industrial Emissions
Assam,Baksa (Area 3),132,37,Domestic Fuel
Assam,Baksa (Area 4),254,146,Crop Burning
Assam,Baksa (Area 5),269,161,Waste Burning
Assam,Baksa (Area 6),308,47,Construction Dust
Assam,Barpeta,247,108,Industrial Emissions
Assam,Barpeta (Area 1),113,51,Industrial Emissions
Assam,Barpeta (Area 2),103,72,Domestic Fuel
Assam,Barpeta (Area 3),307,88,Domestic Fuel
Assam,Barpeta (Area 4),293,128,Crop Burning
Assam,Barpeta (Area 5),145,47,Domestic Fuel
Assam,Barpeta (Area 6),221,39,Industrial Emissions
Assam,Biswanath,230,113,Crop Burning
Assam,Biswanath (Area 1),238,189,Crop Burning
Assam,Biswanath (Area 2),317,93,Crop Burning
Assam,Biswanath (Area 3),214,134,Road Dust
Assam,Biswanath (Area 4),70,66,Industrial Emissions
Assam,Biswanath (Area 5),215,70,Vehicle
Assam,Biswanath (Area 6),189,118,Industrial Emissions
Assam,Bongaigaon,303,47,Construction Dust
Assam,Bongaigaon (Area 1),219,63,Construction Dust
Assam,Bongaigaon (Area 2),144,82,Road Dust
Assam,Bongaigaon (Area 3),190,58,Crop Burning
Assam,Bongaigaon (Area 4),134,83,Industrial Emissions
Assam,Bongaigaon (Area 5),301,102,Industrial Emissions
Assam,Bongaigaon (Area 6),306,113,Waste Burning
Assam,Cachar,197,161,Road Dust
Assam,Cachar (Area 1),176,102,Vehicle
Assam,Cachar (Area 2),117,31,Vehicle
Assam,Cachar (Area 3),206,157,Vehicle
Assam,Cachar (Area 4),65,43,Crop Burning
Assam,Cachar (Area 5),149,95,Road Dust
Assam,Cachar (Area 6),226,34,Domestic Fuel
Assam,Charaideo,194,144,Waste Burning
Assam,Charaideo (Area 1),243,102,Road Dust
Assam,Charaideo (Area 2),237,146,Waste Burning
Assam,Charaideo (Area 3),285,84,Vehicle
Assam,Charaideo (Area 4),164,112,Crop Burning
Assam,Charaideo (Area 5),169,118,Domestic Fuel
Assam,Charaideo (Area 6),200,70,Road Dust
Assam,Chirang,271,102,Domestic Fuel
Assam,Chirang (Area 1),194,134,Road Dust
Assam,Chirang (Area 2),155,154,Waste Burning
Assam,Chirang (Area 3),185,98,Construction Dust
Assam,Chirang (Area 4),290,47,Waste Burning
Assam,Chirang (Area 5),148,86,Industrial Emissions
Assam,Chirang (Area 6),297,117,Vehicle
Assam,Darrang,302,164,Industrial Emissions
Assam,Darrang (Area 1),216,71,Waste Burning
Assam,Darrang (Area 2),169,109,Road Dust
Assam,Darrang (Area 3),278,107,Crop Burning
Assam,Darrang (Area 4),132,66,Waste Burning
Assam,Darrang (Area 5),144,53,Domestic Fuel
Assam,Darrang (Area 6),270,141,Crop Burning
Assam,Dhemaji,200,71,Road Dust
Assam,Dhemaji (Area 1),283,141,Waste Burning
Assam,Dhemaji (Area 2),271,163,Road Dust
Assam,Dhemaji (Area 3),261,151,Construction Dust
Assam,Dhemaji (Area 4),175,161,Domestic Fuel
Assam,Dhemaji (Area 5),312,189,Construction Dust
Assam,Dhemaji (Area 6),89,31,Waste Burning
Assam,Dhubri,306,128,Domestic Fuel
Assam,Dhubri (Area 1),201,55,Crop Burning
Assam,Dhubri (Area 2),185,114,Construction Dust
Assam,Dhubri (Area 3),243,178,Industrial Emissions
Assam,Dhubri (Area 4),292,120,Domestic Fuel
Assam,Dhubri (Area 5),85,81,Road Dust
Assam,Dhubri (Area 6),291,188,Industrial Emissions
Assam,Dibrugarh,81,63,Domestic Fuel
Assam,Dibrugarh (Area 1),215,128,Construction Dust
Assam,Dibrugarh (Area 2),83,67,Industrial Emissions
Assam,Dibrugarh (Area 3),267,179,Industrial Emissions
Assam,Dibrugarh (Area 4),64,45,Industrial Emissions
Assam,Dibrugarh (Area 5),228,158,Industrial Emissions
Assam,Dibrugarh (Area 6),294,145,Vehicle
Assam,Goalpara,268,169,Vehicle
Assam,Goalpara (Area 1),231,189,Road Dust
Assam,Goalpara (Area 2),58,45,Vehicle
Assam,Goalpara (Area 3),87,48,Waste Burning
Assam,Goalpara (Area 4),315,169,Construction Dust
Assam,Goalpara (Area 5),155,96,Industrial Emissions
Assam,Goalpara (Area 6),295,31,Industrial Emissions
Assam,Golaghat,315,94,Industrial Emissions
Assam,Golaghat (Area 1),256,121,Domestic Fuel
Assam,Golaghat (Area 2),316,64,Crop Burning
Assam,Golaghat (Area 3),210,89,Industrial Emissions
Assam,Golaghat (Area 4),184,163,Crop Burning
Assam,Golaghat (Area 5),175,140,Waste Burning
Assam,Golaghat (Area 6),287,54,Crop Burning
Assam,Hailakandi,218,91,Waste Burning
Assam,Hailakandi (Area 1),236,120,Industrial Emissions
Assam,Hailakandi (Area 2),224,76,Domestic Fuel
Assam,Hailakandi (Area 3),316,149,Construction Dust
Assam,Hailakandi (Area 4),153,69,Domestic Fuel
Assam,Hailakandi (Area 5),164,61,Road Dust
Assam,Hailakandi (Area 6),189,47,Domestic Fuel
Assam,Hojai,192,101,Industrial Emissions
Assam,Hojai (Area 1),81,76,Road Dust
Assam,Hojai (Area 2),283,188,Road Dust
Assam,Hojai (Area 3),260,118,Construction Dust
Assam,Hojai (Area 4),217,69,Waste Burning
Assam,Hojai (Area 5),250,35,Waste Burning
Assam,Hojai (Area 6),100,61,Vehicle
Assam,Jorhat,309,133,Vehicle
Assam,Jorhat (Area 1),216,120,Domestic Fuel
Assam,Jorhat (Area 2),97,43,Vehicle
Assam,Jorhat (Area 3),278,71,Construction Dust
Assam,Jorhat (Area 4),285,128,Road Dust
Assam,Jorhat (Area 5),198,75,Construction Dust
Assam,Jorhat (Area 6),251,37,Industrial Emissions
Assam,Kamrup Metropolitan,148,118,Waste Burning
Assam,Kamrup Metropolitan (Area 1),272,85,Industrial Emissions
Assam,Kamrup Metropolitan (Area 2),178,69,Domestic Fuel
Assam,Kamrup Metropolitan (Area 3),203,115,Vehicle
Assam,Kamrup Metropolitan (Area 4),243,185,Construction Dust
Assam,Kamrup Metropolitan (Area 5),104,94,Construction Dust
Assam,Kamrup Metropolitan (Area 6),162,154,Industrial Emissions
Assam,Kamrup,247,77,Road Dust
Assam,Kamrup (Area 1),110,51,Construction Dust
Assam,Kamrup (Area 2),248,179,Domestic Fuel
Assam,Kamrup (Area 3),225,180,Crop Burning
Assam,Kamrup (Area 4),227,189,Road Dust
Assam,Kamrup (Area 5),282,158,Industrial Emissions
Assam,Kamrup (Area 6),275,119,Industrial Emissions
Assam,Karbi Anglong,319,86,Waste Burning
Assam,Karbi Anglong (Area 1),79,60,Vehicle
Assam,Karbi Anglong (Area 2),251,174,Construction Dust
Assam,Karbi Anglong (Area 3),312,88,Construction Dust
Assam,Karbi Anglong (Area 4),244,122,Waste Burning
Assam,Karbi Anglong (Area 5),139,37,Construction Dust
Assam,Karbi Anglong (Area 6),183,87,Waste Burning
Assam,Karimganj,254,53,Domestic Fuel
Assam,Karimganj (Area 1),273,150,Industrial Emissions
Assam,Karimganj (Area 2),293,41,Crop Burning
Assam,Karimganj (Area 3),272,147,Domestic Fuel
Assam,Karimganj (Area 4),206,127,Vehicle
Assam,Karimganj (Area 5),55,33,Crop Burning
Assam,Karimganj (Area 6),308,46,Road Dust
Assam,Kokrajhar,162,148,Crop Burning
Assam,Kokrajhar (Area 1),187,152,Construction Dust
Assam,Kokrajhar (Area 2),263,169,Road Dust
Assam,Kokrajhar (Area 3),212,177,Vehicle
Assam,Kokrajhar (Area 4),182,113,Vehicle
Assam,Kokrajhar (Area 5),302,130,Crop Burning
Assam,Kokrajhar (Area 6),66,64,Waste Burning
Assam,Lakhimpur,245,32,Domestic Fuel
Assam,Lakhimpur (Area 1),289,30,Vehicle
Assam,Lakhimpur (Area 2),220,136,Industrial Emissions
Assam,Lakhimpur (Area 3),197,103,Road Dust
Assam,Lakhimpur (Area 4),74,54,Domestic Fuel
Assam,Lakhimpur (Area 5),230,188,Construction Dust
Assam,Lakhimpur (Area 6),206,133,Road Dust
Assam,Majuli,320,127,Domestic Fuel
Assam,Majuli (Area 1),238,79,Crop Burning
Assam,Majuli (Area 2),209,109,Industrial Emissions
Assam,Majuli (Area 3),98,91,Vehicle
Assam,Majuli (Area 4),176,106,Road Dust
Assam,Majuli (Area 5),220,151,Domestic Fuel
Assam,Majuli (Area 6),251,149,Road Dust
Assam,Morigaon,181,172,Waste Burning
Assam,Morigaon (Area 1),269,184,Road Dust
Assam,Morigaon (Area 2),264,78,Vehicle
Assam,Morigaon (Area 3),161,58,Crop Burning
Assam,Morigaon (Area 4),297,162,Road Dust
Assam,Morigaon (Area 5),165,117,Vehicle
Assam,Morigaon (Area 6),287,167,Construction Dust
Assam,Nagaon,247,62,Road Dust
Assam,Nagaon (Area 1),232,169,Waste Burning
Assam,Nagaon (Area 2),111,32,Waste Burning
Assam,Nagaon (Area 3),83,80,Road Dust
Assam,Nagaon (Area 4),297,123,Industrial Emissions
Assam,Nagaon (Area 5),306,156,Construction Dust
Assam,Nagaon (Area 6),210,101,Industrial Emissions
Assam,Nalbari,179,171,Vehicle
Assam,Nalbari (Area 1),274,65,Crop Burning
Assam,Nalbari (Area 2),289,144,Road Dust
Assam,Nalbari (Area 3),299,75,Vehicle
Assam,Nalbari (Area 4),146,85,Vehicle
Assam,Nalbari (Area 5),269,187,Road Dust
Assam,Nalbari (Area 6),200,141,Construction Dust
Assam,Dima Hasao,156,122,Domestic Fuel
Assam,Dima Hasao (Area 1),202,162,Vehicle
Assam,Dima Hasao (Area 2),278,35,Construction Dust
Assam,Dima Hasao (Area 3),87,73,Domestic Fuel
Assam,Dima Hasao (Area 4),217,41,Construction Dust
Assam,Dima Hasao (Area 5),253,133,Vehicle
Assam,Dima Hasao (Area 6),247,158,Vehicle
Assam,Sivasagar,303,149,Industrial Emissions
Assam,Sivasagar (Area 1),218,51,Vehicle
Assam,Sivasagar (Area 2),236,56,Domestic Fuel
Assam,Sivasagar (Area 3),219,170,Vehicle
Assam,Sivasagar (Area 4),239,161,Waste Burning
Assam,Sivasagar (Area 5),159,121,Vehicle
Assam,Sivasagar (Area 6),258,93,Crop Burning
Assam,Sonitpur,121,86,Road Dust
Assam,Sonitpur (Area 1),205,154,Vehicle
Assam,Sonitpur (Area 2),305,149,Crop Burning
Assam,Sonitpur (Area 3),243,66,Crop Burning
Assam,Sonitpur (Area 4),58,32,Road Dust
Assam,Sonitpur (Area 5),257,108,Road Dust
Assam,Sonitpur (Area 6),247,177,Construction Dust
Assam,South Salmara-Mankachar,261,112,Industrial Emissions
Assam,South Salmara-Mankachar (Area 1),227,56,Construction Dust
Assam,South Salmara-Mankachar (Area 2),141,93,Industrial Emissions
Assam,South Salmara-Mankachar (Area 3),62,35,Industrial Emissions
Assam,South Salmara-Mankachar (Area 4),165,123,Construction Dust
Assam,South Salmara-Mankachar (Area 5),164,111,Vehicle
Assam,South Salmara-Mankachar (Area 6),288,167,Waste Burning
Assam,Tinsukia,271,44,Domestic Fuel
Assam,Tinsukia (Area 1),232,93,Waste Burning
Assam,Tinsukia (Area 2),165,43,Domestic Fuel
Assam,Tinsukia (Area 3),123,119,Industrial Emissions
Assam,Tinsukia (Area 4),233,120,Waste Burning
Assam,Tinsukia (Area 5),260,81,Waste Burning
Assam,Tinsukia (Area 6),259,158,Industrial Emissions
Assam,Udalguri,250,63,Crop Burning
Assam,Udalguri (Area 1),135,96,Domestic Fuel
Assam,Udalguri (Area 2),306,179,Industrial Emissions
Assam,Udalguri (Area 3),297,60,Waste Burning
Assam,Udalguri (Area 4),177,93,Domestic Fuel
Assam,Udalguri (Area 5),275,158,Industrial Emissions
Assam,Udalguri (Area 6),257,144,Road Dust
Assam,West Karbi Anglong,221,126,Domestic Fuel
Assam,West Karbi Anglong (Area 1),188,95,Vehicle
Assam,West Karbi Anglong (Area 2),100,50,Industrial Emissions
Assam,West Karbi Anglong (Area 3),300,187,Construction Dust
Assam,West Karbi Anglong (Area 4),277,49,Construction Dust
Assam,West Karbi Anglong (Area 5),271,123,Domestic Fuel
Assam,West Karbi Anglong (Area 6),275,147,Waste Burning
Bihar,Araria,389,382,Industrial Emissions
